OBJECTID,GEOID,ZONE_CODE,COUNT,AREA,MEAN
1,42101039100,1,1393,1253700,25.98830114
2,42101980902,2,203,182700,26.59074109
3,42101980904,3,1919,1727100,27.16767595
4,42101980903,4,190,171000,28.06094505
5,42101980906,5,3694,3324600,26.59961942
6,42101980905,6,1200,1080000,26.3111392
7,42101036700,7,808,727200,28.187286
8,42101034702,8,1148,1033200,26.24169156
9,42101034801,9,1546,1391400,26.52504421
10,42101034802,10,1371,1233900,26.15678309
11,42101034900,11,2165,1948500,26.5801995
12,42101035100,12,1845,1660500,24.36295209
13,42101035200,13,2068,1861200,26.06345953
14,42101980300,14,8461,7614900,26.3021453
15,42101035500,15,2545,2290500,26.97449731
16,42101035800,16,1954,1758600,25.90699129
17,42101035900,17,2495,2245500,25.64950745
18,42101036000,18,2266,2039400,27.78791599
19,42101036100,19,1344,1209600,25.9524567
20,42101026000,20,604,543600,26.93244646
21,42101027500,21,682,613800,27.15533286
22,42101006500,22,1265,1138500,25.66269087
23,42101006600,23,724,651600,27.99721245
24,42101006700,24,1110,999000,27.31023298
25,42101007200,25,560,504000,28.47996815
26,42101001600,26,218,196200,27.90902472
27,42101001700,27,237,213300,27.31488745
28,42101007300,28,426,383400,28.43499383
29,42101007400,29,751,675900,27.88137435
30,42101001800,30,269,242100,27.72114092
31,42101001900,31,364,327600,28.79320501
32,42101002100,32,263,236700,28.87662381
33,42101002200,33,254,228600,29.02976761
34,42101002400,34,595,535500,28.41546118
35,42101002500,35,435,391500,27.49147788
36,42101002900,36,411,369900,27.96192364
37,42101003100,37,440,396000,28.70705414
38,42101003200,38,545,490500,28.28444975
39,42101003300,39,1294,1164600,27.60594498
40,42101007800,40,475,427500,26.92969887
41,42101007900,41,418,376200,27.29047251
42,42101008000,42,480,432000,28.24234861
43,42101008200,43,938,844200,27.65028489
44,42101008301,44,576,518400,27.4747697
45,42101003600,45,1072,964800,28.23575851
46,42101003701,46,394,354600,29.17261238
47,42101003702,47,274,246600,28.60537263
48,42101003800,48,1210,1089000,29.03922548
49,42101003901,49,466,419400,28.53624159
50,42101003902,50,504,453600,27.76183071
51,42101004001,51,349,314100,28.56198409
52,42101015300,52,519,467100,27.86983524
53,42101025300,53,647,582300,26.85868097
54,42101035301,54,1565,1408500,25.94096652
55,42101031900,55,854,768600,26.52282686
56,42101028300,56,751,675900,27.5325781
57,42101008302,57,473,425700,29.11828704
58,42101008400,58,557,501300,29.43568615
59,42101008500,59,688,619200,29.0178747
60,42101009000,60,589,530100,27.11120808
61,42101004002,61,383,344700,28.6253392
62,42101004101,62,416,374400,28.48246765
63,42101011200,63,559,503100,28.3086639
64,42101002300,64,237,213300,28.3340503
65,42101006200,65,565,508500,28.0655719
66,42101032300,66,665,598500,26.9937818
67,42101000600,67,192,172800,27.49974537
68,42101001500,68,265,238500,27.82675827
69,42101009200,69,569,512100,27.52196906
70,42101009300,70,445,400500,28.52116802
71,42101009400,71,406,365400,28.72654792
72,42101009500,72,353,317700,28.96568674
73,42101009600,73,451,405900,28.63125712
74,42101010000,74,551,495900,27.85892449
75,42101010100,75,667,600300,28.64573786
76,42101010200,76,400,360000,28.26720833
77,42101010300,77,312,280800,28.50872597
78,42101010400,78,525,472500,27.69424392
79,42101010500,79,728,655200,27.6924752
80,42101004201,80,375,337500,28.79739347
81,42101028800,81,548,493200,28.31133927
82,42101011700,82,727,654300,26.22715845
83,42101016902,83,629,566100,28.05818019
84,42101001400,84,352,316800,27.93854115
85,42101013200,85,474,426600,28.14539321
86,42101027000,86,716,644400,25.9118868
87,42101028100,87,561,504900,27.04285854
88,42101035302,88,1686,1517400,25.75854519
89,42101002000,89,321,288900,28.71442287
90,42101014300,90,943,848700,25.41537013
91,42101001101,91,193,173700,27.61779074
92,42101027402,92,567,510300,28.13962605
93,42101036502,93,1920,1728000,25.64806016
94,42101030502,94,776,698400,26.68408836
95,42101031502,95,689,620100,27.63597973
96,42101014600,96,493,443700,28.14480752
97,42101023800,97,870,783000,26.24898706
98,42101010900,98,319,287100,28.00925926
99,42101024800,99,356,320400,27.20329062
100,42101033500,100,1045,940500,27.63083023
101,42101007700,101,354,318600,26.84543985
102,42101014000,102,490,441000,28.06899433
103,42101003001,103,253,227700,28.43754704
104,42101002802,104,404,363600,28.57418974
105,42101002701,105,251,225900,28.46959489
106,42101980600,106,1429,1286100,28.39214507
107,42101036501,107,2026,1823400,26.29500796
108,42101000801,108,125,112500,26.63014868
109,42101026301,109,450,405000,27.31063999
110,42101029200,110,1968,1771200,25.08651955
111,42101024400,111,468,421200,26.82979153
112,42101033200,112,937,843300,26.39726031
113,42101980200,113,5737,5163300,22.83838941
114,42101000200,114,427,384300,28.43393466
115,42101000300,115,634,570600,26.99262139
116,42101026900,116,678,610200,25.76047473
117,42101027100,117,458,412200,26.98937442
118,42101027200,118,751,675900,26.6269526
119,42101027300,119,1050,945000,27.55657881
120,42101036201,120,1161,1044900,26.60587373
121,42101036202,121,1225,1102500,26.65886066
122,42101027700,122,602,541800,27.61251755
123,42101027800,123,803,722700,27.50115997
124,42101028000,124,796,716400,27.58145318
125,42101027600,125,730,657000,27.58971244
126,42101028200,126,948,853200,27.79993539
127,42101028400,127,545,490500,27.19720117
128,42101028500,128,283,254700,28.1419365
129,42101028600,129,741,666900,28.26546434
130,42101028700,130,428,385200,28.51958622
131,42101029000,131,868,781200,26.58796207
132,42101029300,132,775,697500,27.59817446
133,42101029400,133,719,647100,28.41256557
134,42101036203,134,1706,1535400,25.96612833
135,42101009801,135,332,298800,27.66615203
136,42101012201,136,423,380700,26.85266034
137,42101007101,137,281,252900,28.75584895
138,42101002801,138,247,222300,28.36330139
139,42101029800,139,718,646200,27.29605213
140,42101029900,140,657,591300,27.25836995
141,42101030100,141,806,725400,26.75176301
142,42101030200,142,1002,901800,27.06197188
143,42101030600,143,1118,1006200,26.82260388
144,42101036301,144,2677,2409300,26.84369462
145,42101036302,145,576,518400,26.68308936
146,42101036303,146,2846,2561400,25.28506276
147,42101036400,147,5033,4529700,25.40600098
148,42101030700,148,725,652500,27.05276329
149,42101030800,149,888,799200,26.43782229
150,42101030900,150,717,645300,26.90235724
151,42101031000,151,1183,1064700,26.85706051
152,42101031300,152,765,688500,27.45020684
153,42101031600,153,811,729900,27.85839524
154,42101031700,154,987,888300,27.01399805
155,42101031800,155,564,507600,27.25812092
156,42101032000,156,758,682200,27.42339476
157,42101032100,157,617,555300,27.39797172
158,42101032500,158,931,837900,26.80566963
159,42101032600,159,900,810000,27.39872559
160,42101989100,160,4798,4318200,23.87282147
161,42101032900,161,1034,930600,26.79890014
162,42101033000,162,816,734400,27.93037549
163,42101033300,163,1185,1066500,26.78417436
164,42101033400,164,1259,1133100,27.53021175
165,42101033800,165,1555,1399500,26.59725193
166,42101033900,166,1268,1141200,25.96483123
167,42101034000,167,848,763200,26.02526384
168,42101034100,168,1485,1336500,26.57621972
169,42101034200,169,1377,1239300,24.93763275
170,42101034400,170,3806,3425400,25.6503042
